36 : .0.2.6.3.1.4.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..6,1,1..0,0,1..5,0,0..4,1,0..5,1,1..6,0,1..2,0,0..1,1,0..4,1,1..5,0,1..4,0,0..3,1,0..1,1,1..2,0,1..0,0,0..6,1,0..3,1,1..4,0,1..1,0,0..0,1,0..2,1,1..3,0,1..6,0,0..5,1,0..
37 : .0.2.6.4.3.5.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..5,0,0..4,1,0..3,1,1..4,0,1..6,0,0..5,1,0..1,1,1..2,0,1..0,0,0..6,1,0..4,1,1..5,0,1..3,0,0..2,1,0..6,1,1..0,0,1..1,0,0..0,1,0..2,1,1..3,0,1..4,0,0..3,1,0..5,1,1..6,0,1..2,0,0..1,1,0..
38 : .0.2.6.5.3.1.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..6,1,1..0,0,1..4,0,0..3,1,0..1,1,1..2,0,1..0,0,0..6,1,0..5,1,1..6,0,1..2,0,0..1,1,0..4,1,1..5,0,1..6,0,0..5,1,0..3,1,1..4,0,1..1,0,0..0,1,0..2,1,1..3,0,1..5,0,0..4,1,0..
39 : .0.2.6.5.3.4.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..4,1,1..5,0,1..6,0,0..5,1,0..3,1,1..4,0,1..3,0,0..2,1,0..6,1,1..0,0,1..1,0,0..0,1,0..2,1,1..3,0,1..5,0,0..4,1,0..1,1,1..2,0,1..0,0,0..6,1,0..5,1,1..6,0,1..2,0,0..1,1,0..
40 : .0.3.1.2.5.4.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..5,1,1..6,0,1..4,0,0..3,1,0..1,1,1..2,0,1..1,0,0..0,1,0..3,1,1..4,0,1..5,0,0..4,1,0..6,1,1..0,0,1..6,0,0..5,1,0..4,1,1..5,0,1..2,0,0..1,1,0..2,1,1..3,0,1..0,0,0..6,1,0..
41 : .0.3.1.2.6.4.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..6,1,1..0,0,1..5,0,0..4,1,0..5,1,1..6,0,1..2,0,0..1,1,0..2,1,1..3,0,1..0,0,0..6,1,0..4,1,1..5,0,1..4,0,0..3,1,0..1,1,1..2,0,1..1,0,0..0,1,0..3,1,1..4,0,1..6,0,0..5,1,0..
42 : .0.3.1.5.2.4.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..4,1,1..5,0,1..1,0,0..0,1,0..3,1,1..4,0,1..2,0,0..1,1,0..5,1,1..6,0,1..4,0,0..3,1,0..1,1,1..2,0,1..5,0,0..4,1,0..6,1,1..0,0,1..6,0,0..5,1,0..2,1,1..3,0,1..0,0,0..6,1,0..
43 : .0.3.1.6.5.2.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..4,1,1..5,0,1..6,0,0..5,1,0..2,1,1..3,0,1..0,0,0..6,1,0..5,1,1..6,0,1..1,0,0..0,1,0..3,1,1..4,0,1..2,0,0..1,1,0..6,1,1..0,0,1..4,0,0..3,1,0..1,1,1..2,0,1..5,0,0..4,1,0..
44 : .0.3.2.4.1.6.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..2,1,1..3,0,1..0,0,0..6,1,0..5,1,1..6,0,1..1,0,0..0,1,0..3,1,1..4,0,1..2,0,0..1,1,0..6,1,1..0,0,1..5,0,0..4,1,0..1,1,1..2,0,1..3,0,0..2,1,0..4,1,1..5,0,1..6,0,0..5,1,0..
45 : .0.3.2.4.5.1.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..5,0,0..4,1,0..5,1,1..6,0,1..1,0,0..0,1,0..3,1,1..4,0,1..2,0,0..1,1,0..6,1,1..0,0,1..6,0,0..5,1,0..1,1,1..2,0,1..3,0,0..2,1,0..4,1,1..5,0,1..4,0,0..3,1,0..2,1,1..3,0,1..0,0,0..6,1,0..
46 : .0.3.4.2.1.6.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..6,1,1..0,0,1..5,0,0..4,1,0..2,1,1..3,0,1..0,0,0..6,1,0..5,1,1..6,0,1..1,0,0..0,1,0..3,1,1..4,0,1..3,0,0..2,1,0..1,1,1..2,0,1..4,0,0..3,1,0..4,1,1..5,0,1..6,0,0..5,1,0..
47 : .0.3.4.2.5.6.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..6,0,0..5,1,0..6,1,1..0,0,1..1,0,0..0,1,0..3,1,1..4,0,1..3,0,0..2,1,0..5,1,1..6,0,1..5,0,0..4,1,0..2,1,1..3,0,1..0,0,0..6,1,0..1,1,1..2,0,1..4,0,0..3,1,0..4,1,1..5,0,1..2,0,0..1,1,0..
